PublishedLineName,DirectionRef,NextStopPointName
B35,1.0,CHURCH AV/NOSTRAND AV
B44-SBS,0.0,NOSTRAND AV/KINGS HY
B42,1.0,ROCKAWAY PY/AV N
B15,0.0,DEAN ST/UTICA AV
B25,1.0,FULTON ST/S ELLIOTT PL
B13,0.0,EUCLID AV/LINDEN BL
B74,1.0,STILLWELL TERMINAL BUS LOOP
B13,0.0,CYPRESS HILL ST/CYPRESS AV
B60,1.0,WILLIAMS AV/FLATLANDS AV
B4,0.0,OCEAN AV/VOORHIES AV
B62,0.0,PARK AV/VANDERBILT AV
B67,0.0,MC DONALD AV/CATON AV
B6,0.0,GLENWOOD RD/NOSTRAND AV
B67,1.0,SANDS ST/NAVY ST
B44-SBS,1.0,NOSTRAND AV/ST JOHNS PL
B41,0.0,CADMAN PLZ W/MONTAGUE ST
B36,0.0,AV Z/E 28 ST
B52,1.0,GATES AV/MARCUS GARVEY BL
B41,1.0,FLATBUSH AV/FOSTER AV
B26,0.0,HALSEY ST/WILSON AV
B63,1.0,5 AV/36 ST
B46,0.0,UTICA AV/AV J
B6,1.0,FLATLANDS AV/REMSEN AV
B7,1.0,LENOX RD/E 98 ST
B57,1.0,FLUSHING AV/BUSHWICK AV
B67,0.0,7 AV/3 ST
B43,1.0,GRAHAM AV/JACKSON ST
B41,1.0,FLATBUSH AV/PARK PL
B41,1.0,FLATBUSH AV/GRAND ARMY PZ
B83,1.0,JAMAICA AV/GEORGIA AV
B41,0.0,FLATBUSH AV/NOSTRAND AV
B41,0.0,TILLARY ST/CADMAN PZ W
B38,1.0,DE KALB AV/NOSTRAND AV
B15,0.0,NEW LOTS AV/VERMONT ST
B16,1.0,CATON AV/CONEY ISLAND AV
B38,0.0,ADAMS ST/BKLYN SUPREME CRT
B41,1.0,FLATBUSH AV/8 AV
B61,0.0,COLUMBIA ST/CARROLL ST
B8,0.0,FOSTER AV/OCEAN AV
B6,1.0,GLENWOOD RD/ALBANY AV
B35,0.0,39 ST/1 AV
B15,0.0,NEW LOTS AV/ELTON ST
B7,1.0,E 18 ST/AV P
B47,1.0,MILL AV/AV U
B48,1.0,LORIMER ST/HARRISON AV
B49,1.0,FRANKLIN AV/ATLANTIC AV
B32,1.0,11 ST/JACKSON AV
B6,0.0,GLENWOOD RD/ALBANY AV
B7,0.0,KINGS HY/UTICA AV
B48,0.0,NASSAU AV/MC GUINNESS BL
B54,0.0,TILLARY ST/JAY ST
B15,1.0,BERGEN ST/UTICA AV
B35,0.0,CHURCH AV/NOSTRAND AV
B44,0.0,NEW YORK AV/PROSPECT PL
B6,0.0,FLATLANDS AV/REMSEN AV
B46,1.0,KINGS PLAZA
B49,0.0,OCEAN AV/FARRAGUT RD
B61,1.0,BEARD ST/OTSEGO ST
B36,1.0,NOSTRAND AV/AV V
B38,1.0,DE KALB AV/WYCKOFF AV
B64,1.0,86 ST/14 AV
B82,1.0,MERMAID AV/STILLWELL AV
B16,0.0,SHORE RD/4 AV
B68,0.0,CONEY ISLAND AV/FOSTER AV
B1,1.0,86 ST/7 AV
B60,0.0,ROCKAWAY AV/LINDEN BL
B46,0.0,UTICA AV/LINDEN BL
B64,0.0,NARROWS AV/BAY RIDGE AV
B68,0.0,CONEY ISLAND AV/CORTELYOU RD
B82,0.0,KINGS HY/NOSTRAND AV
B25,0.0,FULTON ST/UTICA AV
B63,0.0,5 AV/PROSPECT PL
B15,1.0,LEWIS AV/MAC DONOUGH ST
B62,1.0,PARK AV/RYERSON ST
B41,1.0,FLATBUSH AV/FOSTER AV
B54,1.0,MYRTLE AV/CLASSON AV
B44-SBS,0.0,NOSTRAND AV/AV X
B64,0.0,HARWAY AV/BAY 50 ST
B47,0.0,BROADWAY/GREENE AV
B82,1.0,KINGS HY/OCEAN PY
B9,1.0,BAY RIDGE AV/COLONIAL RD
B8,0.0,18 AV/MC DONALD AV
B41,0.0,TILLARY ST/CADMAN PZ W
B62,0.0,MANHATTAN AV/GREENPOINT AV
